x1,y1,z1,count
16,352,0.591375,1
18,353,0.1,1
13,353,0.9108125,1
13,354,0.909625,1
21,354,0.876375,1
18,357,0.1,1
8,357,0.7801874999999999,1
18,360,1,1
14,362,0.1,2
17,362,0.65075,1
22,365,0.1,1
10,365,0.1,1
15,369,0.9155625000000001,1
13,369,0.8918125,1
19,369,0.700625,1
14,370,0.1,1
15,371,0.9131874999999999,1
21,371,0.8561875000000001,1
18,374,0.9333750000000001,1
10,374,0.1,1
14,376,0.1,1
15,377,0.9060625,1
10,377,0.1,1
12,378,0.52725,1
8,381,0.7516875000000001,1
17,382,0.627,1
16,383,0.5545625000000001,1
17,385,0.6234375,1
15,385,0.8965625,1
18,387,1,1
16,387,0.5498125,1
14,388,0.1,1
13,389,0.8680625000000001,1
22,390,0.1,1
14,391,0.1,1
15,392,0.88825,1
18,393,0.9428749999999999,1
17,393,0.6139375,1
10,394,0.1,1
16,394,0.5415,1
8,394,0.73625,1
9,396,0.1,1
15,397,0.8823125,1
12,401,0.4999375,1
10,403,0.1,1
12,403,0.4975625,1
11,403,0.7920625,2
15,403,0.8751875,1
15,404,1,1
10,405,0.1,1
12,405,0.49518750000000006,1
21,407,0.8134375,1
15,407,0.9464374999999999,1
14,408,0.1,1
13,408,0.8454999999999999,1
16,410,0.5225,1
12,411,0.48806250000000007,1
12,412,0.486875,1
17,413,0.5901875000000001,1
22,414,0.1,1
18,415,0.91675,1
10,415,0.1,1
9,416,0.1,1
20,417,0.1,1
13,420,0.83125,1
20,421,0.1,1
6,422,0.7374375000000001,1
9,423,1,1
21,425,0.7920625,1
20,426,0.1,1
16,426,0.5035000000000001,3
14,426,0.1,1
17,426,0.57475,2
9,426,0.9464374999999999,1
18,427,0.9025,1
12,427,0.4690625,1
10,428,0.1,1
10,429,0.1,1
14,431,0.1,1
26,432,0.1,1
17,433,0.5664375,1
19,433,0.624625,2
16,433,0.49518750000000006,1
21,435,0.7801874999999999,1
19,435,0.62225,1
10,436,0.1,1
24,437,0.5901875000000001,1
18,438,0.8894375,1
14,438,0.1,1
17,440,0.558125,1
18,440,0.8870625,1
15,442,0.904875,1
12,443,0.45006250000000003,1
10,445,0.1,1
15,445,0.9013125,1
8,445,0.6756875,1
14,446,1,1
9,447,0.9215000000000001,1
19,448,0.6068125,1
19,451,0.6032500000000001,1
17,451,0.5450625,1
11,451,0.7350625,1
18,453,0.871625,1
15,453,0.8918125,1
14,455,0.9393125000000001,1
16,457,0.581875,1
18,458,0.8656874999999999,1
18,459,0.8645,1
15,460,0.8835,1
14,462,0.9309999999999999,1
10,462,0.1,1
19,464,0.5878125,1
13,465,0.7778125,1
14,465,0.9274375,1
17,465,0.5284375,1
17,467,0.5260625,1
19,467,0.58425,1
17,468,0.5248750000000001,1
19,470,0.5806875,1
14,473,0.9179375000000001,1
13,476,0.7647499999999999,1
23,476,0.1,1
16,477,0.44293750000000004,1
12,478,0.40850000000000003,1
8,479,0.6353125,1
17,483,0.5070625000000001,1
14,484,0.904875,2
18,485,0.833625,1
15,485,0.8538125,1
19,485,0.562875,1
17,488,1,1
22,489,0.1,1
18,489,0.828875,1
13,491,0.7469374999999999,1
22,491,0.1,1
18,492,0.8253125,1
12,493,0.3906875,1
8,494,0.6175,1
10,496,0.1,1
16,496,0.420375,1
11,496,0.6816249999999999,2
13,496,0.741,1
13,498,0.738625,1
11,503,0.6733125,1
13,506,1,1
8,508,0.6008749999999999,1
14,509,0.8751875,1
23,512,0.1,1
12,513,0.3669375,1
13,515,0.9393125000000001,1
15,516,0.8170000000000001,1
18,516,0.7968125,1
14,517,0.8656874999999999,1
11,519,0.6543125000000001,1
14,520,0.862125,1
16,521,0.3906875,1
21,522,0.676875,1
12,522,0.35625,1
9,522,0.8324375,1
18,523,1,1
17,525,0.9060625,1
16,526,0.38475000000000004,1
19,527,0.513,1
11,527,0.6448125,1
13,527,0.9250624999999999,1
16,528,0.382375,1
21,528,0.66975,1
10,528,0.1,1
15,528,0.8027500000000001,1
25,530,0.1,1
15,531,0.7991875,2
15,532,0.7979999999999999,1
17,535,0.8941875,1
14,538,0.84075,1
14,540,0.8383750000000001,1
20,541,1,1
22,543,0.1,1
10,543,0.1,1
11,543,0.6258125,1
14,545,0.8324375,1
22,547,0.1,1
18,548,0.9203125,1
16,550,0.35625,1
22,550,0.1,1
9,552,0.7968125,1
11,552,0.615125,1
17,554,0.871625,1
12,556,0.3158750000000001,2
10,558,0.1,1
7,558,0.1,1
9,560,0.7873125000000001,1
13,561,0.8846875,1
14,563,0.8110625,1
14,564,0.809875,1
16,564,0.33962500000000007,1
21,564,0.627,1
11,564,0.6008749999999999,1
5,565,0.1,1
21,567,0.6234375,1
18,568,0.8965625,1
11,568,0.596125,1
28,570,0.1,1
10,571,1,1
16,574,0.32775000000000004,1
18,575,0.88825,1
17,576,0.8454999999999999,1
24,577,0.4239375,1
11,580,0.581875,1
18,581,0.8811249999999999,1
18,583,0.87875,1
12,584,0.282625,1
19,585,0.444125,1
18,586,0.8751875,1
11,586,0.57475,1
9,588,0.7540625,1
19,589,0.439375,1
14,591,0.7778125,1
15,591,0.7279375,1
14,592,0.7766249999999999,1
10,593,1,1
13,593,0.8466875,2
12,593,0.2719375000000001,2
16,593,0.30518749999999994,1
10,593,0.95,1
19,595,0.43225,1
20,596,0.8846875,1
11,597,0.5616875,1
9,598,0.7421875,1
12,598,0.26600000000000007,1
11,603,0.5545625000000001,1
18,604,0.8538125,1
19,605,0.420375,1
18,607,0.8502500000000001,1
14,610,0.7552500000000001,1
16,610,0.285,1
13,611,0.8253125,1
11,613,0.5426875,1
