,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
7300,0,0,0,0,0,0,217,91,353,336,147,317,6,118,63,35,400,234,0,420,199,294,380,252,606,0,0,0,169,0,0,0,0
7400,0,0,0,0,0,0,227,101,363,346,157,327,16,128,73,45,410,244,0,430,209,304,390,262,616,0,0,0,179,0,0,0,0
7500,0,0,0,0,0,0,237,111,373,356,167,337,26,138,83,55,420,254,0,440,219,314,400,272,626,0,0,0,189,0,0,0,0
7600,0,0,0,0,0,0,247,121,383,366,177,347,36,148,93,65,430,264,0,450,229,324,410,282,636,0,0,0,199,7,0,0,0
7700,0,0,0,0,0,0,257,131,393,376,187,357,46,158,103,75,440,274,0,460,239,334,420,292,646,0,0,0,209,17,0,0,0
7800,0,0,0,0,0,0,267,141,403,386,197,367,56,168,113,85,450,284,0,470,249,344,430,302,656,0,0,0,219,27,0,0,0
7900,0,0,0,0,0,0,277,151,413,396,207,377,66,178,123,95,7,294,0,480,259,354,440,312,666,0,0,0,229,37,0,0,0
8000,0,0,0,0,0,0,287,161,423,406,217,387,76,188,133,105,17,304,0,490,269,364,450,322,676,0,0,0,239,47,0,0,0
8100,0,0,0,0,0,0,297,171,433,416,227,397,86,198,143,115,27,314,0,500,279,374,0,332,686,0,0,0,249,57,0,0,0
8200,0,0,0,0,0,0,307,181,443,426,237,407,96,208,153,125,37,324,0,510,289,384,10,342,696,0,0,0,259,67,0,0,0
8300,0,0,0,0,0,0,317,191,453,436,247,417,106,218,163,135,47,334,0,520,299,394,20,352,706,0,0,0,269,77,0,0,0
8400,0,0,0,0,0,0,327,201,463,446,257,427,116,228,173,145,57,344,0,6,309,404,30,362,716,0,0,0,279,87,0,0,0
8500,0,0,0,0,0,0,337,211,473,456,267,437,126,238,183,155,67,354,0,16,319,414,40,372,726,0,0,0,289,97,0,0,0
8600,0,0,0,0,0,0,347,221,483,466,277,447,136,248,193,165,77,364,0,26,329,424,50,382,736,0,0,0,299,107,0,0,0
8700,0,0,0,0,0,0,357,231,3,476,287,457,146,258,203,175,87,374,0,36,339,434,60,392,746,0,0,0,309,117,0,0,0
8800,0,0,0,0,0,0,367,241,13,486,297,467,156,268,213,185,97,384,0,46,349,444,70,402,756,0,0,0,319,127,0,0,0
8900,0,0,0,0,0,0,377,251,23,496,307,477,166,278,223,195,107,394,0,56,359,454,80,412,766,0,0,0,329,137,0,0,0
9000,0,0,0,0,0,0,387,261,33,9,317,487,176,288,233,205,117,404,0,66,369,464,90,422,776,0,0,0,339,147,0,0,0
9100,0,0,0,0,0,0,397,271,43,19,327,497,186,298,243,215,127,414,0,76,379,474,100,432,786,0,0,0,349,157,0,0,0
9200,0,0,0,0,0,0,407,281,53,29,337,507,196,308,253,225,137,424,0,86,389,3,110,442,796,0,0,0,359,167,0,0,0
9300,0,0,0,0,0,0,417,291,63,39,347,517,206,318,263,235,147,434,0,96,399,13,120,452,806,0,0,0,369,177,0,0,0
